particle_type,momentum,photon_hits,is_pi,is_K,is_electron,is_muon,is_proton
pi,40.038144120449864,12,1.0,0.0,0.0,0.0,0.0
pi,61.08975036200076,19,1.0,0.0,0.0,0.0,0.0
pi,3.603368072170241,0,1.0,0.0,0.0,0.0,0.0
pi,3.983352970244815,0,1.0,0.0,0.0,0.0,0.0
pi,70.20979639898455,13,1.0,0.0,0.0,0.0,0.0
pi,30.34985698909256,13,1.0,0.0,0.0,0.0,0.0
pi,29.306877784161568,14,1.0,0.0,0.0,0.0,0.0
pi,33.50627003270348,16,1.0,0.0,0.0,0.0,0.0
pi,63.44297363380643,14,1.0,0.0,0.0,0.0,0.0
pi,70.85047941851977,16,1.0,0.0,0.0,0.0,0.0
pi,20.804082288399922,10,1.0,0.0,0.0,0.0,0.0
pi,38.210081890528805,8,1.0,0.0,0.0,0.0,0.0
pi,28.13651725543298,14,1.0,0.0,0.0,0.0,0.0
pi,83.6081840872755,11,1.0,0.0,0.0,0.0,0.0
pi,2.016165639968754,0,1.0,0.0,0.0,0.0,0.0
pi,64.04923694880553,15,1.0,0.0,0.0,0.0,0.0
pi,83.37736261961018,21,1.0,0.0,0.0,0.0,0.0
pi,86.12298124630799,21,1.0,0.0,0.0,0.0,0.0
pi,41.91589146124501,8,1.0,0.0,0.0,0.0,0.0
pi,17.6692901821708,9,1.0,0.0,0.0,0.0,0.0
pi,76.45124937619808,17,1.0,0.0,0.0,0.0,0.0
pi,90.77841680908642,12,1.0,0.0,0.0,0.0,0.0
pi,11.192387710355897,10,1.0,0.0,0.0,0.0,0.0
pi,19.685161241269846,13,1.0,0.0,0.0,0.0,0.0
pi,73.78582306104468,18,1.0,0.0,0.0,0.0,0.0
pi,58.468814933195986,20,1.0,0.0,0.0,0.0,0.0
pi,36.39637688986511,11,1.0,0.0,0.0,0.0,0.0
pi,8.175758637946366,6,1.0,0.0,0.0,0.0,0.0
pi,17.08769086605991,22,1.0,0.0,0.0,0.0,0.0
pi,28.58861997216565,11,1.0,0.0,0.0,0.0,0.0
pi,55.5438496825228,13,1.0,0.0,0.0,0.0,0.0
pi,46.89153957088053,8,1.0,0.0,0.0,0.0,0.0
pi,87.47325543771744,15,1.0,0.0,0.0,0.0,0.0
pi,5.796903175564272,8,1.0,0.0,0.0,0.0,0.0
pi,61.55396051874232,18,1.0,0.0,0.0,0.0,0.0
pi,40.0760816238858,15,1.0,0.0,0.0,0.0,0.0
pi,85.48536811091937,20,1.0,0.0,0.0,0.0,0.0
pi,40.58316544566794,17,1.0,0.0,0.0,0.0,0.0
pi,82.55766843763271,11,1.0,0.0,0.0,0.0,0.0
pi,32.70361292434371,15,1.0,0.0,0.0,0.0,0.0
pi,88.49866144360006,13,1.0,0.0,0.0,0.0,0.0
